,name,url,state,day,time,clean_name,address,lat,lng
24,World of Beer (RVILL WED),https://worldofbeer.com/Locations/Rockville,MD,Wednesday,7:00PM,World of Beer (Rockville),"196 E Montgomery Ave #B, Rockville, MD 20850, United States",39.0842574,-77.1503315
25,Highline RxR,http://highlinerxr.com/,VA,Monday,7:00PM,Highline RxR,"2010 Crystal Dr, Arlington, VA 22202, United States",38.855917,-77.0496369
26,Auld Shebeen,https://theauldshebeenva.com/,VA,Tuesday,7:30PM,Auld Shebeen,"3971 Chain Bridge Rd, Fairfax, VA 22030, United States",38.8469452,-77.3061963
27,Bar Bao (Thursdays),https://www.facebook.com/barbaova/,VA,Thursday,7:00PM,Bar Bao,"3100 Clarendon Blvd, Arlington, VA 22201, United States",38.8862307,-77.0959283
28,Clare and Don's,http://www.clareanddons.com/,VA,Thursday,7:00PM,Clare and Don's,"130 N Washington St, Falls Church, VA 22046, United States",38.8826624,-77.17016269999999
29,Courthaus Social,mailto:courthaussocial@gmail.com?Subject=District Trivia at Courthaus Social,VA,Wednesday,7:00PM,Courthaus Social,"2300 Clarendon Blvd, Arlington, VA 22201, United States",38.8901941,-77.0865354
30,Blue Iguana,http://blueiguanafairfax.com/,VA,Thursday,7:00PM,Blue Iguana,"12727 Shoppes Ln, Fairfax, VA 22033, United States",38.86051519999999,-77.3865144
31,Madhatter,,DC,Monday,7:00PM,Madhatter,"1319 Connecticut Ave NW, Washington, DC 20036, United States",38.9079294,-77.0419239
32,Tight Five Pub,,DC,Monday,7:00PM,Tight Five Pub,"2471 18th St NW, Washington, DC 20009, United States",38.9222749,-77.0422452
33,Crystal City Sports Pub,,VA,Monday,8:00PM,Crystal City Sports Pub,"529 23rd St S, Arlington, VA 22202, United States",38.85348020000001,-77.0543446
34,Irish Channel Pub,,DC,Tuesday,7:00PM,Irish Channel Pub,"500 H St NW, Washington, DC 20001, United States",38.8994679,-77.0191578
35,Nanny O'Briens,,DC,Tuesday,7:30PM,Nanny O'Briens,"3319 Connecticut Ave NW, Washington, DC 20008, United States",38.93409219999999,-77.05729509999999
36,Crafthouse Arlington,,VA,Tuesday,7:30PM,Crafthouse Arlington,"901 N Glebe Rd #105, Arlington, VA 22203, United States",38.8815221,-77.11526839999999
37,Crafthouse Fairfax,,VA,Tuesday,7:30PM,Crafthouse Fairfax,"11861 Palace Way, Fairfax, VA 22030, United States",38.8587292,-77.355482
38,Crafthouse Reston,,VA,Tuesday,7:30PM,Crafthouse Reston,"1888 Explorer St, Reston, VA 20190, United States",38.9577714,-77.36076969999999
39,Samuel Beckett's,,VA,Tuesday,7:30PM,Samuel Beckett's,"2800 S Randolph St #110, Arlington, VA 22206, United States",38.8406442,-77.0892288
40,Trusty's,,DC,Tuesday,8:00PM,Trusty's,"1420 Pennsylvania Ave. SE, Washington, DC 20003, United States",38.880138,-76.9844032
41,New York Deli,,VA,Tuesday,8:00PM,New York Deli,"1712 I St NW, Washington, DC 20006, United States",38.9011915,-77.0402285
42,World of Beer Richmond,,VA,Wednesday,7:30PM,World of Beer Richmond,"11600 W Broad St, Richmond, VA 23233, United States",37.6521724,-77.6132159
43,Stoney's on P,,DC,Wednesday,8:00PM,Stoney's on P,"1433 P St NW, Washington, DC 20005, United States",38.90982390000001,-77.0332876
44,P. J. Skidoos,,VA,Wednesday,8:00PM,P. J. Skidoos,"9908 Fairfax Blvd, Fairfax, VA 22030, United States",38.8637219,-77.2871682
45,Meridian Pint,,VA,Thursday,7:00PM,Meridian Pint,"6035 Wilson Blvd, Arlington, VA 22205, United States",38.8739519,-77.1405619
