,Venue,Address,Day,Time,Host
63,Auld Shebeen,"3971 Chain Bridge Road
Fairfax, VA 22030",Tuesday,7:30PM,District Trivia
64,Rhodeside Grill,"1836 Wilson Blvd
Arlington, VA 22201",Tuesday,7:30PM,District Trivia
65,Austin Grill,"8430 Old Keene Mill Rd
Springfield, VA 20147",Monday,7:00PM,District Trivia
66,Courthaus Social,"2300 Clarendon Blvd
Arlington, VA 22201",Wednesday,7:00PM,District Trivia
67,Mister Days (Tuesday),"3100 Clarendon Blvd
Arlington, VA 22201",Tuesday,7:00PM,District Trivia
68,Mad Fox (Falls Church),"444 W. Broad Street
Falls Church, VA 22046",Tuesday,7:30PM,District Trivia
69,Ragtime,"1345 N Courthouse Rd
Arlington, VA 22201",Monday,7:30PM,District Trivia
70,Blue Iguana,"12727 Shoppes Lane
 Fairfax, VA 22033",Thursday,7:00PM,District Trivia
71,Crafthouse (ARL TUE),"901 N Glebe Rd
Arlington, VA 22203",Tuesday,7:30PM,District Trivia
72,Rustico (Ballston),"4075 Wilson Boulevard
Arlington, VA 22203",Sunday,7:00PM,District Trivia
73,O'Sullivan's (Clarendon),"3207 Washington Blvd
Arlington, VA 22201",Wednesday,7:00PM,District Trivia
74,Crafthouse (ARL MON),"901 N Glebe Rd
Arlington, VA 22203",Monday,7:30PM,District Trivia
75,Hen Quarter (Alexandria),"801 King Street
Alexandria, VA 22314",Thursday,7:30PM,District Trivia
76,Falls Church Distillers,"442 S Washington St Suite A
Falls Church, VA 22046",Thursday,7:30PM,District Trivia
77,Highline RxR,"2010 Crystal Dr
Arlington, VA 22202",Monday,7:00PM,District Trivia
78,Crafthouse Fairfax,"11861 Palace Way
Fairfax, VA 22030",Tuesday,8:00PM,District Trivia
79,Crafthouse Reston,"1888 Explorer St
Reston, VA 20190",Tuesday,8:00PM,District Trivia
80,Spanky's Shenanigans,"538 E Market St
Leesburg, VA 20716",Wednesday,7:00PM,District Trivia
81,Siné Irish Pub,"1301 S Joyce St
Arlington, VA 22202",Sunday,7:00PM,District Trivia
82,World of Beer (C'ville),"852 W Main St
Charlottesville, VA 22903",Tuesday,7:00PM,District Trivia
